,0
0,tardinha
1,good part alzheimer plan surprise party
2,get mildly insufficient sleep symptom anxiety depression
3,watch get stripper
4,girl still sleep poke little grumble snuggle farth dog even want get lol
5,last roughly year ve engineer grain high yield drastically increase gluten leaver cause myriad inflation related problem grain directly link depression also
6,get tattoo beautiful day work
7,want guy know dad cool love guy
8,ready go bed long day today good night
9,adium
10,almost
11,ve get heat way fire emoji fire emoji fire talk student new datum reveal quarter suffer depression ve also get new track test fake news detection capability pic_twitter com fbbpnzlrqm
12,s always possibility m mp actually full time soldier part time local cop pastime really
13,advertise chase car clothe work job hate buy shit need great depression live
14,dinner wonderin
15,also enjoy coldplay new album
16,m home
17,talk diet depression mikhaila peterson eye opening interview definitely watch incredible story admire share world
18,ok dude glad make home m pretty sure feline hitchhinker either
19,totally agree good movie ever
20,ready last show
21,man miss much
22,anfield wait game start
23,wait restless morning summer class man cant_wait idk m excited
24,look feel awful m ready get depression
25,funny probably go back sleep
26,sleep eat properly m always sadi want diewelcome depression
27,outer circle inner circle step back lot distraction thankfully
28,coughcough still season heehee start day ago
29,still wire take half anti anxiety pill apparently chemo related sleep bit
30,today last day year wedding anniversary
31,stone depressed scary place
32,go bed got lot energy play little man
33,really want delete whole instagram page feel toxic bring joy anxiety
34,oms make laugh lot
35,good yer album today get love
36,movie seem hilarious see
37,infinitely
38,love new profile
39,wahaha daddy parker look convict right lolol
40,ocean view room beach beautiful today fun beach party sunset appreciation key smile always
41,sunflower intimidate madaldal emoji cat face tear joy yellow heart mga ganon emoji roll floor laugh honey pot let depression get always look bright side life emoji_smiling face smiling_eye stay strong eya emoji two_heart emoji call hand skin_tone
42,cocktail balcony scorch day
43,spontaneous road trip
44,larsensitis frontal lobe transmissible cough sneeze comorbid depression
45,superb greatness
46,recording session shit hopefully demo soon
47,lovely morning love winter
48,first day summer vacation home boy
49,pick busy work m totally free vacation mhahaha
50,wake deep slumber
51,see star_trek
52,job case know play taggert thank prop much appreciate
53,get
54,pain soy milk pea pod late dinner yummmm
55,morning tweet m take personal day today sip coffee jammie
56,favorite song
57,finish implement pretty much feature want network defense got make fun map
58,concert leave tomorrow
59,fun fact anxiety open existentialism
60,home relax cant_wait see besty morrw hope well enough go city
61,excite tomorrow
62,depression colorblind constantly tell colorful world
63,ur new pic
64,m intent adore praise appreciate say honestly even m call
65,m sorry really think fix chemical imbalance brain medication re flat wrong lose weight lose depression sorry
66,morning feel great morning probably weather fact tgif
67,apparently nd century people say hang brother
68,fix computer thankfully know bug s much happy thus
69,emoji_smile face sunglasse diagnose depression low self_esteem first make sure fact surround asshole gibson quote wednesdaywisdom
70,real talk kanye never pull fully depression suffer mum pass marrying drama fill kardashian family help matter
71,hang office weekend thank understand wife
72,come see white teenager attack depression hot take
73,beach awesome today food spoon
74,m crazy m real s life thrill s ok
75,see girl day m officially depressed
76,see trailer road want watch
77,ever feel fly ill help find place crash fly buffy con btw
78,slightly nervous anxious reasonmy body ur stomach pain nausea present
79,writting song make baby haha lalala
80,m home upload today episode dream tv facebook youtube
81,new phone
82,stuff get attention seriously grow joke suicide race abuse bullying disability depression rape self_harm
83,mural continue mentalhealth therapy psychology anxiety anxiety psychotherapy pic_twitter
84,shut keep upgrade flow smoothly happy
85,day leave got rate video help meet head writing session
86,negative thought destructive emotion bring pain unhappiness depression misery live address pendemic issue pic_twitter com vzigseaa
87,fat ass help keep man get ahead career stripper help depression save friendship chile
88,thank yesterday well ever m drum
89,doctor decide physical symptom anxiety stress depression examination point
90,depression face
91,dream meet hope going true come
92,happen fall depression fear fear anxiety anxiety drop idea death void consume life disappear water absorb wood break large stone piece idea break mind emoji brain
93,give much anxiety
94,work add need go sleep m sorry make come great day morrow
95,leesh rabena least still
96,m fuck anxious start clean broom m fuck anxious saihara kun come get fuck
97,m sure ting ting thing
98,resist packet dry mango yellow fellow
99,take haha m get crazy everytime hear
100,spark movie give depression lmao
101,ton research variable model available instance well
102,mom depression tie intellectual_development
103,nice think ill get sleep ill enough energy enjoy horsey day
104,go shopping try get thing fix shit go boom trap wrong program oop blue sky shine blue sky
105,breakfast time think
106,school luckyyyyyyy m jealous
107,drop way cuppa
108,night
109,world listen online left corner szerencse
110,much anxiety right
111,add depression bitterness fact character anticipate watch screen time hold word less screen time avenger break
112,mom depression tie intellectual_development
113,bored need know
114,go see tonight yay love movie boytoy
115,back lbs dieting perhaps work finger cross lose pound gain pack
116,depression m gay
117,depressed night
118,sunburnt fuck
119,doin
120,nice sweater
121,gift spread joy
122,extremely depressing
123,m lil sis get twitter
124,bother question irish people crazy enough vote answer
125,congrat mate finally cow live flat rainy grasland city heading
126,suck suffer anxiety depression remember hurt person re love put think m good mind remind m
127,expert say anxiety depression top list reason people trouble sleep sleep
128,capacity immediately understand material teach strength weakness stress deal person generally good overwhelming also depression suck cause cry
129,need help anxiety let sleep almost need wake fuck fuck fuck
130,ve join lot discord remember make anxious
131,boy flower awesome specially yijung cha gaeul story try watch great
132,watch motogp qualify simply grip great result looking_forward race tomorrow
133,real account fake m confuse
134,glad thought make think know hot rest
135,depressed hour open
136,think product cater nostalgia depression
137,guy bother
138,speaking juice cranberry fridge right
139,going front nighttime depression kick see go live bring happiness s m fan
140,depression work lot ppl
141,half year ago experience symptom depression diagnose month ago scratch point bleed still happen
142,tuna sashimi circle beeeest
143,really need long_term friend m fall deep suck
144,make twitter
145,m go depression draft rosen
146,pinky swear
147,problem jude pleasure
